from_airport_iata,to_airport_iata,days_of_week,departure_time,arrival_time,flight_duration,flight,airline_iata,aircraft_iata
CPT,JNB,5,19:45,21:45,2:00,BA6438,BA,734
CPT,JNB,12567,17:00,19:00,2:00,BA6422,BA,734
CPT,JNB,1234567,10:00,12:00,2:00,BA6410,BA,734
CPT,JNB,1234567,11:15,13:15,2:00,BA6408,BA,734
CPT,JNB,1234567,14:00,16:00,2:00,BA6416,BA,734
CPT,JNB,1234567,15:45,17:45,2:00,BA6418,BA,734
CPT,JNB,123457,18:00,20:00,2:00,BA6426,BA,734
CPT,JNB,12345,7:00,9:00,2:00,BA6424,BA,734
CPT,JNB,12345,8:40,10:40,2:00,BA6406,BA,733
CPT,JNB,67,8:00,10:00,2:00,BA6402,BA,733
CPT,LHR,1234567,8:15,17:50,11:35,BA42,BA,744
CPT,LHR,1234567,20:55,6:35,11:40,BA58,BA,744
CQM,BCN,12345,17:10,19:10,2:00,IB8649,IB,DH3
CQM,BCN,67,15:30,16:50,1:20,IB8649,IB,CR2
CQM,LPA,3,16:10,18:00,2:50,IB8646,IB,CR2
CQM,LPA,6,17:30,19:20,2:50,IB8646,IB,CR2
CRD,AEP,3,8:50,12:02,2:12,LA4427,LA,320
CRD,AEP,12345,7:50,11:02,2:12,LA4427,LA,320
CRD,AEP,4,8:50,12:02,2:12,LA4427,LA,320
CRD,AEP,12345,7:50,11:02,2:12,LA4427,LA,320
CRD,AEP,12345,7:50,11:02,2:12,LA4427,LA,320
CRP,DFW,1234567,13:45,15:05,1:20,AA3800,AA,ER4
CRP,DFW,1234567,14:50,16:10,1:20,AA3702,AA,ER4
CRP,DFW,1567,14:40,16:00,1:20,AA3702,AA,ER4
CRP,DFW,1234567,6:00,7:20,1:20,AA3568,AA,ER4
CRP,DFW,1234567,9:10,10:30,1:20,AA3434,AA,ER4
CRP,DFW,1234567,10:50,12:10,1:20,AA3566,AA,ER4
CRP,DFW,1234567,12:15,13:35,1:20,AA3874,AA,ER4
CRP,DFW,1234567,16:35,17:55,1:20,AA3418,AA,ER4
CRP,DFW,1234567,18:35,19:55,1:20,AA3724,AA,ER4
CSX,HKG,2467,16:35,18:20,1:45,KA721,KA,320
CSX,HKG,5,20:00,21:45,1:45,KA721,KA,320
CTA,LGW,156,19:00,21:15,3:15,BA2595,BA,319
CTL,BNE,5,14:30,16:30,2:00,QF2543,QF,DH3
CTL,BNE,6,9:20,11:25,2:05,QF2547,QF,DH3
CTL,BNE,3,14:50,16:50,2:00,QF2543,QF,DH3
CTL,BNE,6,9:20,11:25,2:05,QF2547,QF,DH3
CTL,BNE,5,13:45,15:30,1:45,QF2547,QF,DH8
CTL,BNE,35,14:50,16:50,2:00,QF2543,QF,DH3
CTL,BNE,1,13:50,15:50,2:00,QF2547,QF,DH3
CTL,BNE,24,9:20,11:20,2:00,QF2545,QF,DH3
CTL,BNE,7,18:05,20:05,2:00,QF2543,QF,DH3
CTL,RMA,5,14:30,15:10,0:40,QF2543,QF,DH3
CTL,RMA,6,9:20,10:00,0:40,QF2547,QF,DH3
CTL,RMA,3,14:50,15:30,0:40,QF2543,QF,DH3
CTL,RMA,6,9:20,10:00,0:40,QF2547,QF,DH3
CTL,RMA,35,14:50,15:30,0:40,QF2543,QF,DH3
CTL,RMA,1,13:50,14:30,0:40,QF2547,QF,DH3
CTL,RMA,24,9:20,10:00,0:40,QF2545,QF,DH3
CTL,RMA,7,18:05,18:45,0:40,QF2543,QF,DH3
CTS,AOJ,1234567,17:00,17:50,0:50,JL2809,JL,M90
CTS,AOJ,1567,7:50,8:40,0:50,JL2801,JL,M90
CTS,AOJ,1567,15:00,15:50,0:50,JL2809,JL,M90
CTS,AXT,1567,10:40,11:40,1:00,JL2823,JL,M90
CTS,AXT,1234567,13:45,14:45,1:00,JL2827,JL,M90
CTS,FUK,1234567,11:45,14:20,2:35,JL3510,JL,M90
CTS,FUK,1567,12:55,15:30,2:35,JL3510,JL,M90
CTS,FUK,1234567,14:50,17:25,2:35,JL3512,JL,777
CTS,GAJ,1234567,13:25,14:35,1:10,JL2843,JL,CRJ
CTS,HIJ,1234567,14:55,17:05,2:10,JL3406,JL,M90
CTS,HKG,5,16:20,21:00,5:40,CX2581,CX,330
CTS,HKG,6,17:20,22:00,5:40,CX2581,CX,330
CTS,HKG,6,18:20,23:00,5:40,CX2583,CX,330
CTS,HKG,7,17:20,21:55,5:35,CX2581,CX,330
CTS,HKG,7,18:00,23:00,6:00,CX2583,CX,330
CTS,HKG,1,18:35,23:15,5:40,CX2581,CX,330
CTS,HKG,23,18:20,23:00,5:40,CX2581,CX,330
CTS,HKG,4,17:50,22:30,5:40,CX2581,CX,330
CTS,HKG,56,17:10,21:50,5:40,CX2583,CX,330
CTS,HKG,6,18:00,22:40,5:40,CX2581,CX,330
CTS,HKG,7,17:20,22:00,5:40,CX2583,CX,330
CTS,HKG,3467,16:20,21:00,5:40,CX581,CX,744
CTS,HNA,1234567,15:15,16:15,1:00,JL2835,JL,M90
CTS,HNA,1567,11:10,12:10,1:00,JL2833,JL,M90
CTS,HNA,1567,15:10,16:10,1:00,JL2835,JL,M90
CTS,HND,1,18:15,19:50,1:35,JL4504,JL,M81
CTS,HND,6,18:15,19:50,1:35,JL4504,JL,M81
CTS,HND,57,17:20,18:55,1:35,JL4504,JL,M81
CTS,HND,1234567,7:50,9:25,1:35,JL500,JL,773
CTS,HND,1234567,9:05,10:40,1:35,JL502,JL,773
CTS,HND,1234567,10:00,11:35,1:35,JL506,JL,744
CTS,HND,1234567,10:45,12:20,1:35,JL508,JL,773
CTS,HND,1234567,11:30,13:05,1:35,JL510,JL,773
CTS,HND,1234567,12:00,13:35,1:35,JL512,JL,744
CTS,HND,1234567,12:40,14:15,1:35,JL514,JL,777
CTS,HND,1234567,13:00,14:35,1:35,JL516,JL,744
CTS,HND,1234567,14:00,15:35,1:35,JL520,JL,777
CTS,HND,1234567,15:00,16:35,1:35,JL522,JL,773
CTS,HND,1234567,15:40,17:15,1:35,JL524,JL,777
CTS,HND,1234567,16:15,17:50,1:35,JL526,JL,767
CTS,HND,1234567,17:25,19:00,1:35,JL528,JL,777
CTS,HND,1234567,18:05,19:40,1:35,JL532,JL,744
CTS,HND,1234567,19:00,20:35,1:35,JL538,JL,744
CTS,HND,1234567,19:55,21:30,1:35,JL540,JL,773
CTS,HND,1234567,20:30,22:05,1:35,JL542,JL,777
CTS,HND,1234567,20:55,22:30,1:35,JL548,JL,744
CTS,HND,1234567,21:25,23:00,1:35,JL550,JL,767
CTS,ITM,1567,10:00,12:00,2:00,JL3912,JL,767
CTS,ITM,1234567,8:25,10:25,2:00,JL2000,JL,CRJ
CTS,ITM,1234567,17:35,19:35,2:00,JL2016,JL,773
CTS,KIX,7,18:00,20:15,2:15,JL4708,JL,747
CTS,KIX,1234567,7:50,10:05,2:15,JL2500,JL,767
CTS,KIX,1234567,14:10,16:25,2:15,JL2506,JL,734
CTS,KIX,1234567,16:00,18:15,2:15,JL2512,JL,767
CTS,KIX,1234567,18:00,20:15,2:15,JL2514,JL,M90
CTS,MMB,1234567,7:50,8:35,0:45,JL2711,JL,M81
CTS,MMB,1567,7:55,8:40,0:45,JL2711,JL,M90
CTS,MMB,1234567,11:30,12:15,0:45,JL2715,JL,M90
CTS,MMB,1234567,17:55,18:40,0:45,JL2719,JL,M81
CTS,NGO,1234567,8:15,10:10,1:55,JL3100,JL,M90
CTS,NGO,1234567,13:00,14:55,1:55,JL3108,JL,M90
CTS,NGO,1567,8:00,9:55,1:55,JL3100,JL,M90
CTS,NGO,1567,13:10,15:05,1:55,JL3108,JL,M90
CTS,NGO,1567,14:10,16:05,1:55,JL3112,JL,M90
CTS,NGO,1567,14:45,16:40,1:55,JL3114,JL,M90
CTS,NGO,1234567,11:40,13:35,1:55,JL3106,JL,767
CTS,NGO,1234567,18:30,20:25,1:55,JL3118,JL,767
CTS,NRT,1234567,14:10,15:55,1:45,JL3042,JL,767
CTS,SDJ,1234567,8:05,9:15,1:10,JL2900,JL,M90
CTS,SDJ,1234567,10:45,11:55,1:10,JL2902,JL,M81
CTS,SDJ,1234567,16:00,17:10,1:10,JL2912,JL,M81
CTS,SDJ,1234567,18:05,19:15,1:10,JL2918,JL,M90
CTS,SDJ,1567,7:55,9:05,1:10,JL2900,JL,M90
CTS,SDJ,1567,10:55,12:05,1:10,JL2902,JL,M90
CTS,SDJ,1567,17:00,18:10,1:10,JL2912,JL,M81
CTS,SDJ,1567,18:20,19:30,1:10,JL2918,JL,M90
CTS,UKB,1234567,10:20,12:15,1:55,JL3302,JL,767
CTS,UKB,1234567,14:45,16:40,1:55,JL3306,JL,734
CTS,UKB,1567,11:50,13:45,1:55,JL3302,JL,767
CTS,UKB,1567,14:30,16:25,1:55,JL3306,JL,734
CTS,UKB,1234567,18:00,19:55,1:55,JL3308,JL,767
CTU,HKG,1234567,14:05,16:35,2:30,KA821,KA,321
CUN,DFW,2345,13:00,15:55,2:55,AA1654,AA,757
CUN,DFW,134567,13:00,15:55,2:55,AA1654,AA,757
CUN,DFW,1234567,7:10,10:00,2:50,AA2212,AA,757
CUN,DFW,1234567,15:05,18:05,3:00,AA1688,AA,757
CUN,DFW,1234567,16:20,19:20,3:00,AA1108,AA,757
CUN,DFW,7,8:50,11:45,2:55,AA2244,AA,738
CUN,JFK,1234567,10:15,14:55,3:40,AA1608,AA,757
CUN,JFK,1234567,15:45,20:45,4:00,AA1674,AA,757
CUN,MCO,5,15:05,22:40,6:35,AA1688,AA,757
CUN,MCO,1234567,15:05,22:35,6:30,AA1688,AA,757
CUN,MIA,1234567,7:00,9:30,1:30,AA2126,AA,757
CUN,MIA,1234567,12:25,15:00,1:35,AA2184,AA,757
CUN,MIA,1234567,14:20,17:05,1:45,AA2186,AA,757
CUN,MIA,1234567,17:05,19:45,1:40,AA2192,AA,738
CUN,ORD,1234567,13:20,17:15,3:55,AA448,AA,757
CUN,SCL,6,21:25,8:15,7:50,LA583,LA,763
CUN,SCL,6,22:25,11:25,10:00,LA587,LA,763
CUR,MIA,1234567,7:55,10:00,3:05,AA934,AA,738
CUU,DFW,1234567,7:30,10:20,1:50,AA3408,AA,ERD
CUU,DFW,1234567,14:25,17:05,1:40,AA3616,AA,ER4
CUZ,AQP,1246,13:15,15:25,2:10,LP111,LP,319
CUZ,AQP,357,13:10,15:25,2:15,LP111,LP,319
CUZ,IQT,1246,13:00,16:40,3:40,LP394,LP,319
CUZ,JUL,1234567,7:50,8:40,0:50,LP123,LP,319
CUZ,JUL,1246,13:15,14:05,0:50,LP111,LP,319
CUZ,JUL,357,13:10,14:00,0:50,LP111,LP,319
CUZ,LIM,1234567,16:45,18:05,1:20,LP38,LP,319
CUZ,LIM,6,16:45,18:05,1:20,LP40,LP,319
CUZ,LIM,6,16:50,18:10,1:20,LP38,LP,319
CUZ,LIM,57,6:25,7:45,1:20,LP14,LP,319
CUZ,LIM,123457,16:45,18:05,1:20,LP38,LP,319
CUZ,LIM,1234567,7:25,8:45,1:20,LP16,LP,319
CUZ,LIM,1234567,7:35,8:55,1:20,LP24,LP,319
CUZ,LIM,1234567,7:50,10:50,3:00,LP123,LP,319
CUZ,LIM,1234567,9:25,10:45,1:20,LP115,LP,319
CUZ,LIM,1234567,9:30,10:50,1:20,LP18,LP,319
CUZ,LIM,1234567,11:10,12:30,1:20,LP26,LP,319
CUZ,LIM,1234567,13:05,14:25,1:20,LP74,LP,319
CUZ,LIM,1234567,14:05,15:25,1:20,LP36,LP,319
CUZ,LIM,1234567,14:10,15:30,1:20,LP72,LP,319
CUZ,LIM,1234567,15:00,16:20,1:20,LP34,LP,319
CUZ,LIM,1246,13:00,14:20,1:20,LP394,LP,319
CUZ,LIM,1246,14:20,15:40,1:20,LP28,LP,319
CUZ,LIM,357,13:00,14:20,1:20,LP44,LP,319
CUZ,LIM,357,13:55,15:15,1:20,LP28,LP,319
CUZ,PEM,1234567,10:15,11:10,0:55,LP73,LP,319
CUZ,PEM,1234567,11:20,12:15,0:55,LP71,LP,319
CUZ,TCQ,357,9:35,10:45,1:10,LP45,LP,319
CVG,DFW,1234567,16:00,17:45,2:45,AA3712,AA,ERD
CVG,DFW,1567,16:05,17:50,2:45,AA3712,AA,ERD
CVG,DFW,1234567,6:00,7:55,2:55,AA3720,AA,ER4
CVG,DFW,1234567,11:05,12:50,2:45,AA3456,AA,ER4
CVG,DFW,1234567,12:30,14:15,2:45,AA3438,AA,ER4
CVG,DFW,123457,14:10,15:55,2:45,AA3668,AA,ER4
CVG,DFW,123457,18:20,20:05,2:45,AA3880,AA,ER4
CVG,MIA,1234567,7:15,10:00,2:45,AA4350,AA,ERD
CVG,MIA,67,10:15,13:10,2:55,AA4301,AA,ERD
CVG,ORD,1234567,6:20,6:35,1:15,AA4376,AA,ERD
CVG,ORD,1234567,11:45,12:10,1:25,AA4323,AA,ER4
CVG,ORD,1234567,15:05,15:30,1:25,AA4306,AA,ER4
CVG,ORD,1234567,17:50,18:15,1:25,AA3936,AA,ER4
CVG,ORD,1234567,19:50,20:20,1:30,AA4047,AA,ERD
CVG,ORD,12345,9:15,9:40,1:25,AA4289,AA,ERD
CVG,ORD,12345,10:10,10:40,1:30,AA4076,AA,ER4
CWA,ORD,1234567,11:00,12:10,1:10,AA4341,AA,ERD
CWA,ORD,1567,10:40,11:50,1:10,AA4341,AA,ER4
CWA,ORD,1234567,7:05,8:10,1:05,AA4251,AA,ER4
CWA,ORD,1234567,16:10,17:15,1:05,AA4521,AA,ER4
CZM,DCA,134567,14:55,22:45,6:50,AA364,AA,738
CZM,DFW,134567,14:55,17:55,3:00,AA364,AA,738
CZM,MIA,1567,15:20,18:45,2:25,AA4948,AA,AT7
DAC,HKG,5,2:00,7:40,3:40,KA111,KA,330
DAC,HKG,13467,23:35,5:15,3:40,KA111,KA,330
DAC,LHR,146,5:25,10:35,11:10,BA144,BA,777
DAL,ORD,1234567,14:00,16:25,2:25,AA4230,AA,ER4
DAL,ORD,1234567,8:00,10:15,2:15,AA4372,AA,ER4
DAL,ORD,123456,6:30,9:00,2:30,AA4400,AA,ER4
DAL,ORD,123457,11:00,13:20,2:20,AA4262,AA,ER4
DAL,ORD,157,10:00,12:15,2:15,AA4230,AA,ER4
DAL,ORD,12567,18:00,20:25,2:25,AA4372,AA,ER4
DAL,ORD,1256,7:00,9:25,2:25,AA4400,AA,ER4
DAL,ORD,1234567,11:00,13:20,2:20,AA4262,AA,ER4
DAL,ORD,1234567,17:00,19:35,2:35,AA4366,AA,ER4
DAL,ORD,123457,16:00,18:30,2:30,AA4146,AA,ER4
DAM,AMM,1234567,8:40,9:25,0:45,RJ436,RJ,E95
DAM,AMM,15,0:45,1:30,0:45,RJ444,RJ,E75
DAM,BUD,135,4:05,6:30,3:25,MA253,MA,73G
DAR,LHR,357,9:55,17:10,10:15,BA46,BA,767
DAY,DFW,1234567,13:35,15:20,2:45,AA1803,AA,M80
DAY,DFW,123457,7:05,8:55,2:50,AA1231,AA,M80
DAY,DFW,123457,17:50,19:40,2:50,AA661,AA,M80
DAY,LAS,1234567,13:35,17:10,6:35,AA1803,AA,M80
DAY,ONT,123457,17:50,21:55,7:05,AA661,AA,M80
DAY,STL,1234567,6:20,6:50,1:30,AA5291,AA,ERD
DAY,STL,1234567,14:25,14:55,1:30,AA5289,AA,ERD
DBO,SYD,1356,12:55,14:00,1:05,QF2043,QF,DH8
DBO,SYD,2346,9:45,10:50,1:05,QF2041,QF,DH3
DBO,SYD,1,12:55,14:00,1:05,QF2043,QF,DH8
DBO,SYD,2345,16:00,17:05,1:05,QF2047,QF,DH8
DBO,SYD,5,6:45,7:50,1:05,QF2037,QF,DH3
DBO,SYD,123457,17:30,18:35,1:05,QF2047,QF,DH3
DBO,SYD,12356,9:45,10:50,1:05,QF2041,QF,DH3
DBO,SYD,4,8:25,9:30,1:05,QF2041,QF,DH3
DBO,SYD,7,10:35,11:40,1:05,QF2041,QF,DH3
DBO,SYD,23,16:15,17:20,1:05,QF2047,QF,DH8
DBO,SYD,2,6:30,7:35,1:05,QF2037,QF,DH3
DBO,SYD,45,9:45,10:50,1:05,QF2041,QF,DH3
DBO,SYD,45,17:30,18:35,1:05,QF2047,QF,DH3
DBO,SYD,2,18:10,19:15,1:05,QF2047,QF,DH3
DBO,SYD,3,17:25,18:30,1:05,QF2047,QF,DH3
DBO,SYD,245,9:45,10:50,1:05,QF2041,QF,DH3
DBO,SYD,7,16:00,17:05,1:05,QF2047,QF,DH8
DBO,SYD,145,17:30,18:35,1:05,QF2047,QF,DH3
DBO,SYD,7,9:10,10:15,1:05,QF2041,QF,DH3
DBO,SYD,6,16:55,18:00,1:05,QF2045,QF,DH8
DBQ,ORD,1234567,6:10,7:00,0:50,AA4258,AA,ER4
DBQ,ORD,1234567,11:40,12:40,1:00,AA4254,AA,ERD
DBQ,ORD,123457,16:45,17:45,1:00,AA4226,AA,ERD
DBV,LGW,5,15:25,17:15,2:50,BA2883,BA,734
DBV,LGW,45,15:25,17:15,2:50,BA2883,BA,734
DBV,LGW,2,17:25,19:15,2:50,BA2883,BA,734
DBV,LGW,7,17:55,19:45,2:50,BA2883,BA,734
DCA,BNA,1234567,11:00,11:55,1:55,AA4591,AA,ER3
DCA,BNA,1234567,15:10,16:05,1:55,AA4600,AA,ERD
DCA,BNA,1234567,17:25,18:25,2:00,AA4584,AA,ERD
DCA,BNA,123457,19:20,20:20,2:00,AA4574,AA,ER3
DCA,BNA,12345,8:30,9:30,2:00,AA4581,AA,ER3
DCA,BOS,1234567,9:45,11:05,1:20,AA4779,AA,ER3
DCA,BOS,1234567,11:50,13:10,1:20,AA4780,AA,ERD
DCA,BOS,1234567,15:40,17:05,1:25,AA4594,AA,ER3
DCA,BOS,1234567,18:05,19:30,1:25,AA4783,AA,ERD
DCA,BOS,123457,19:30,20:50,1:20,AA4598,AA,ERD
DCA,BOS,12345,7:30,8:50,1:20,AA4778,AA,ERD
DCA,DFW,1234567,13:59,16:34,3:35,AA843,AA,738
DCA,DFW,3,14:25,17:00,3:35,AA2523,AA,757
DCA,DFW,123457,13:59,16:34,3:35,AA843,AA,738
DCA,DFW,123457,13:59,16:34,3:35,AA843,AA,738
DCA,DFW,1234567,7:05,9:40,3:35,AA1271,AA,738
DCA,DFW,1234567,8:45,11:25,3:40,AA475,AA,738
DCA,DFW,1234567,9:55,12:35,3:40,AA2017,AA,M80
DCA,DFW,1234567,10:15,14:25,5:10,AA1163,AA,M80
DCA,DFW,1234567,12:30,15:05,3:35,AA1779,AA,M80
DCA,DFW,1234567,15:40,18:10,3:30,AA1061,AA,738
DCA,DFW,1234567,17:40,20:20,3:40,AA891,AA,M83
DCA,DFW,123456,11:05,13:35,3:30,AA1187,AA,738
DCA,DFW,123457,16:30,19:10,3:40,AA1539,AA,M80
DCA,DFW,123457,19:40,22:05,3:25,AA1105,AA,738
DCA,DFW,12345,6:00,8:35,3:35,AA1009,AA,738
DCA,DFW,12345,7:40,11:55,5:15,AA1295,AA,M80
DCA,IAH,1234567,9:50,14:50,6:00,AA1751,AA,M80
DCA,IAH,12345,13:59,18:45,5:46,AA843,AA,738
DCA,JFK,1234567,6:00,7:10,1:10,AA4748,AA,ERD
DCA,JFK,1234567,10:00,11:10,1:10,AA4740,AA,ERD
DCA,JFK,1234567,12:00,13:05,1:05,AA4776,AA,ERD
DCA,JFK,1234567,13:25,14:30,1:05,AA4676,AA,ER3
DCA,JFK,1234567,14:35,15:59,1:24,AA4750,AA,ER3
DCA,JFK,1234567,16:05,17:30,1:25,AA4754,AA,ERD
DCA,JFK,1234567,20:10,21:25,1:15,AA4756,AA,ERD
DCA,KIN,1234567,6:00,11:45,5:45,AA1723,AA,738
DCA,MIA,1234567,6:00,8:35,2:35,AA1723,AA,738
DCA,MIA,1234567,7:15,9:55,2:40,AA1149,AA,738
DCA,MIA,1234567,8:15,10:50,2:35,AA2097,AA,738
DCA,MIA,1234567,11:50,14:25,2:35,AA673,AA,738
DCA,MIA,1234567,15:20,17:55,2:35,AA503,AA,738
DCA,MIA,1234567,17:10,19:55,2:45,AA1219,AA,738
DCA,MIA,1234567,18:15,20:50,2:35,AA735,AA,738
DCA,MIA,123457,12:55,15:30,2:35,AA1287,AA,738
DCA,MIA,123457,19:10,21:50,2:40,AA1831,AA,738
DCA,MIA,6,12:40,15:15,2:35,AA1287,AA,738
DCA,MIA,6,19:25,22:00,2:35,AA1831,AA,738
DCA,MSP,123457,20:00,23:20,4:20,AA1673,AA,M80
DCA,MSY,1234567,15:40,20:25,5:45,AA1061,AA,738
DCA,ORD,6,16:30,17:45,2:15,AA2533,AA,M80
DCA,ORD,3,11:15,12:30,2:15,AA2535,AA,M80
DCA,ORD,1234567,6:20,7:30,2:10,AA4121,AA,CR7
DCA,ORD,1234567,7:20,8:35,2:15,AA4058,AA,CR7
DCA,ORD,1234567,8:25,9:45,2:20,AA585,AA,M80
DCA,ORD,1234567,9:50,11:10,2:20,AA1751,AA,M80
DCA,ORD,1234567,13:50,15:10,2:20,AA425,AA,M83
DCA,ORD,1234567,15:00,16:10,2:10,AA3927,AA,CR7
DCA,ORD,1234567,16:45,18:00,2:15,AA1339,AA,M83
DCA,ORD,1234567,18:00,19:10,2:10,AA3984,AA,CR7
DCA,ORD,123457,12:45,13:55,2:10,AA3934,AA,CR7
DCA,ORD,123457,20:00,21:10,2:10,AA1673,AA,M80
DCA,PLS,1234567,11:50,17:05,5:15,AA673,AA,738
DCA,RDU,12345,6:25,7:30,1:05,AA4660,AA,ERD
DCA,RDU,15,6:00,7:05,1:05,AA4660,AA,ERD
DCA,RDU,1234567,13:20,14:20,1:00,AA4667,AA,ERD
DCA,RDU,1234567,17:45,18:50,1:05,AA4635,AA,ER3
DCA,RDU,123456,8:00,9:00,1:00,AA4640,AA,ERD
DCA,RDU,123457,14:50,15:50,1:00,AA4653,AA,ERD
DCA,RDU,123457,16:25,17:30,1:05,AA4647,AA,ERD
DCA,RDU,123457,19:25,20:30,1:05,AA4628,AA,ERD
DCA,RDU,12345,10:50,11:55,1:05,AA4672,AA,ER3
DCA,RDU,7,8:30,9:35,1:05,AA4640,AA,ERD
DCA,SAN,1234567,16:45,21:40,7:55,AA1339,AA,M83
DCA,SEA,1234567,13:50,18:35,7:45,AA425,AA,M83
DCA,STL,123457,18:30,19:50,2:20,AA1993,AA,M80
DCA,STL,1234567,10:15,11:40,2:25,AA1163,AA,M80
DCA,STL,1234567,15:25,16:40,2:15,AA531,AA,M83
DCA,STL,12345,7:40,9:00,2:20,AA1295,AA,M80
DCA,TPA,123457,19:10,23:50,4:40,AA1831,AA,738
DCA,TPA,6,19:25,23:55,4:30,AA1831,AA,738
DCA,TUS,1234567,9:55,14:50,6:55,AA2017,AA,M80
DEL,AMM,146,6:20,9:10,6:20,RJ193,RJ,342
DEL,HEL,23467,11:05,14:55,7:20,AY22,AY,M11
DEL,HEL,234567,11:05,14:55,7:20,AY22,AY,M11
DEL,HKG,1234567,4:00,11:35,5:05,CX752,CX,343
DEL,HKG,1234567,15:15,22:50,5:05,CX638,CX,330
DEL,LHR,1234567,3:30,7:15,9:15,BA142,BA,744
DEL,LHR,1234567,12:30,16:20,9:20,BA256,BA,744
DEL,NRT,1234567,19:50,6:35,7:15,JO472,JO,744
DEL,ORD,1234567,0:55,5:05,15:40,AA293,AA,777
DEN,DCA,1234567,6:00,12:59,4:59,AA1448,AA,M83
DEN,DCA,123457,13:25,20:55,5:30,AA1188,AA,738
DEN,DFW,1234567,6:00,9:00,2:00,AA328,AA,M80
DEN,DFW,1234567,7:05,10:10,2:05,AA1417,AA,M80
DEN,DFW,1234567,9:15,12:15,2:00,AA1490,AA,M80
DEN,DFW,1234567,10:30,13:30,2:00,AA524,AA,M80
DEN,DFW,1234567,11:55,14:50,1:55,AA806,AA,M80
DEN,DFW,1234567,13:25,16:20,1:55,AA1188,AA,738
DEN,DFW,1234567,14:35,17:30,1:55,AA1760,AA,M80
DEN,DFW,1234567,15:50,18:45,1:55,AA1762,AA,738
DEN,DFW,1234567,17:05,20:05,2:00,AA1028,AA,M80
DEN,DFW,1234567,18:25,21:20,1:55,AA1266,AA,M80
DEN,DFW,1234567,19:30,22:20,1:50,AA1274,AA,M80
DEN,DTW,123457,10:30,18:05,5:35,AA524,AA,M80
DEN,IND,5,14:35,21:35,5:00,AA1760,AA,M80
DEN,IND,123457,14:35,21:25,4:50,AA1760,AA,M80
DEN,LAX,1234567,11:30,13:05,2:35,AA1469,AA,M80
DEN,LAX,123456,7:25,8:55,2:30,AA1055,AA,738
DEN,LAX,123457,18:15,19:50,2:35,AA1519,AA,M80
DEN,LGA,123457,9:50,17:20,5:30,AA366,AA,M80
DEN,LHR,1234567,17:15,9:05,8:50,BA218,BA,777
DEN,MFE,1234567,17:05,22:30,4:25,AA1028,AA,M80
DEN,MIA,1234567,8:25,14:10,3:45,AA947,AA,757
DEN,MIA,1234567,15:50,23:15,5:25,AA1762,AA,738
DEN,ORD,1234567,6:00,9:25,2:25,AA1448,AA,M83
DEN,ORD,1234567,9:50,13:15,2:25,AA366,AA,M80
DEN,ORD,1234567,14:25,17:55,2:30,AA782,AA,M80
DEN,ORD,1234567,17:05,20:30,2:25,AA706,AA,M80
DEN,TPA,1234567,14:25,22:30,6:05,AA782,AA,M80
DEN,VVI,457,8:25,23:15,11:50,AA947,AA,757
DEN,VVI,1457,8:25,23:15,11:50,AA947,AA,757
DFW,ABI,1234567,15:05,15:55,0:50,AA3717,AA,ER4
DFW,ABI,1234567,16:25,17:15,0:50,AA3893,AA,ERD
DFW,ABI,123457,18:05,18:55,0:50,AA3773,AA,ER4
DFW,ABI,1567,16:20,17:10,0:50,AA3893,AA,ERD
DFW,ABI,1567,17:45,18:35,0:50,AA3717,AA,ER4
DFW,ABI,157,18:35,19:25,0:50,AA3773,AA,ER4
DFW,ABI,1234567,9:45,10:35,0:50,AA3867,AA,ER4
DFW,ABI,1234567,12:55,13:50,0:55,AA3859,AA,ER4
DFW,ABI,1234567,19:25,20:15,0:50,AA3765,AA,ERD
DFW,ABI,1234567,20:55,21:40,0:45,AA3447,AA,ER4
DFW,ABQ,1234567,8:45,9:35,1:50,AA1873,AA,M80
DFW,ABQ,1234567,10:20,11:10,1:50,AA1099,AA,M80
DFW,ABQ,1234567,12:30,13:25,1:55,AA369,AA,M80
DFW,ABQ,1234567,14:20,15:10,1:50,AA477,AA,M80
DFW,ABQ,1234567,15:30,16:20,1:50,AA1517,AA,M80
DFW,ABQ,1234567,17:30,18:25,1:55,AA389,AA,M80
DFW,ABQ,1234567,19:10,20:05,1:55,AA1507,AA,M80
DFW,ABQ,123457,21:45,22:35,1:50,AA657,AA,M80
DFW,ACA,134567,10:40,13:35,2:55,AA2263,AA,M80
DFW,ACA,6,9:40,12:35,2:55,AA2477,AA,M80
DFW,ACT,1234567,10:10,10:50,0:40,AA3439,AA,ER4
DFW,ACT,1567,10:20,11:00,0:40,AA3439,AA,ER4
DFW,ACT,1234567,14:25,15:05,0:40,AA3441,AA,ER4
DFW,ACT,1234567,16:40,17:20,0:40,AA3375,AA,ER4
DFW,ACT,1234567,20:25,21:05,0:40,AA3377,AA,ER4
DFW,AEX,1234567,13:20,14:25,1:05,AA3421,AA,ER4
DFW,AEX,1567,13:10,14:15,1:05,AA3421,AA,ER4
DFW,AEX,1234567,19:50,20:55,1:05,AA3415,AA,ER4
DFW,AGU,1234567,18:30,20:55,2:25,AA3595,AA,ER4
DFW,AMA,1234567,7:15,8:25,1:10,AA3389,AA,ER4
DFW,AMA,1234567,10:05,11:37,1:32,AA5149,AA,AT7
DFW,AMA,1234567,11:30,12:40,1:10,AA3477,AA,ER4
DFW,AMA,1234567,13:40,14:50,1:10,AA3811,AA,ER4
