airline_iata,airline,callsign,country
AU,Austral Lineas Aereas,AUSTRAL,Argentina
AO,Australian Airlines,AUSTRALIAN,Australia
OS,Austrian Airlines,AUSTRIAN,Austria
VO,Austrian Arrows,TYROLEAN,Austria
VE,Avensa,Avensa,Venezuela
RX,Aviaexpress,Avex,Hungary
EC,Avialeasing Aviation Company,TWINARROW,Uzbekistan
AV,Avianca - Aerovias Nacionales de Colombia, S.A.,AVIANCA
Z3,Avient Aviation,AVAVIA,Zimbabwe
U3,Avies,AVIES,Estonia
G2,Avirex,AVIREX-GABON,Gabon
V5,Avolar Aerolineas,AEROVOLAR,Mexico
J2,Azerbaijan Airlines,AZAL,Azerbaijan
7A,Aztec Worldwide Airlines,,United States
ZS,Azzurra Air,AZZURRA,Italy
TH,BA Connect,,United Kingdom
B4,BACH Flugbetriebsges,BACH,Austria
V9,BAL Bashkirian Airlines,BASHKIRIAN,Russia
8W,BAX Global,,\N
7R,BRA-Transportes Aereos,BRA-TRANSPAEREOS,Brazil
UP,Bahamasair,BAHAMAS,Bahamas
8Q,Baker Aviation,BAKER AVIATION,United States
LZ,Balkan Bulgarian Airlines,,\N
PG,Bangkok Airways,BANGKOK AIR,Thailand
8N,Barents AirLink,NORDFLIGHT,Sweden
JV,Bearskin Lake Air Service,BEARSKIN,Canada
4T,Belair Airlines,BELAIR,Switzerland
B2,Belavia Belarusian Airlines,BELARUS AVIA,Belarus
B3,Bellview Airlines,BELLVIEW AIRLINES,Nigeria
CH,Bemidji Airlines,BEMIDJI,United States
A8,Benin Golf Air,BENIN GOLF,Benin
8E,Bering Air,BERING AIR,United States
J8,Berjaya Air,BERJAYA,Malaysia
GQ,Big Sky Airlines,BIG SKY,United States
BG,Biman Bangladesh Airlines,BANGLADESH,Bangladesh
NT,Binter Canarias,,Spain
5Z,Bismillah Airlines,BISMILLAH,Bangladesh
0B,Blue Air,BLUE TRANSPORT,Romania
BZ,Blue Dart Aviation,BLUE DART,India
BV,Blue Panorama Airlines,BLUE PANOROMA,Italy
QW,Blue Wings,BLUE WINGS,Germany
KF,Blue1,BLUEFIN,Finland
E9,Boston-Maine Airways,CLIPPER CONNECTION,United States
BO,Bouraq Indonesia Airlines,BOURAQ,Indonesia
BU,Braathens,Braathens,Norway
BN,Braniff International Airways,Braniff,United States
K6,Bravo Air Congo,BRAVO,Democratic Republic of the Congo
E6,Bringer Air Cargo Taxi Aereo,,Brazil
DB,Brit Air,BRITAIR,France
BA,British Airways,SPEEDBIRD,United Kingdom
BS,British International Helicopters,BRINTEL,United Kingdom
KJ,British Mediterranean Airways,BEE MED,United Kingdom
SN,Brussels Airlines,BEE-LINE,Belgium
J4,Buffalo Airways,BUFFALO,Canada
FB,Bulgaria Air,FLYING BULGARIA,Bulgaria
5C,CAL Cargo Air Lines,CAL,Israel
AW,CHC Airways,,Netherlands
XG,Calima Aviacion,CALIMA,Spain
R9,Camai Air,AIR CAMAI,United States
UY,Cameroon Airlines,CAM-AIR,Cameroon
C6,CanJet,CANJET,Canada
CP,Canadian Airlines,CANADIAN,Canada
5T,Canadian North,EMPRESS,Canada
W2,Canadian Western Airlines,CANADIAN WESTERN,Canada
9K,Cape Air,CAIR,United States
PT,Capital Cargo International Airlines,CAPPY,United States
8L,Cargo Plus Aviation,,United Arab Emirates
2G,Cargoitalia,WHITE PELICAN,Italy
W8,Cargojet Airways,CARGOJET,Canada
BW,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago
8B,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda
V3,Carpatair,CARPATAIR,Romania
RV,Caspian Airlines,CASPIAN,Iran
CX,Cathay Pacific,CATHAY,Hong Kong SAR of China
KX,Cayman Airways,CAYMAN,Cayman Islands
5J,Cebu Pacific,CEBU AIR,Philippines
7N,Centavia,,Serbia
C0,Centralwings,CENTRALWINGS,Poland
J7,Centre-Avia,AVIACENTRE,Russia
WE,Centurion Air Cargo,CHALLENGE CARGO,United States
OP,Chalk's Ocean Airways,CHALKS,United States
MG,Champion Air,CHAMPION AIR,United States
2Z,Changan Airlines,CHANGAN,China
S8,Chari Aviation Services,CHARI SERVICE,Chad
RP,Chautauqua Airlines,CHAUTAUQUA,United States
C8,Chicago Express,WINDY CITY,United States
CI,China Airlines,DYNASTY,Taiwan
CK,China Cargo Airlines,CARGO KING,China
MU,China Eastern Airlines,CHINA EASTERN,China
CJ,China Northern Airlines,CHINA NORTHERN,China
WH,China Northwest Airlines,CHINA NORTHWEST,China
CZ,China Southern Airlines,CHINA SOUTHERN,China
HR,China United Airlines,LIANHANG,China
XO,China Xinhua Airlines,XINHUA,China
X7,Chitaavia,CHITA,Russia
A2,Cielos Airlines,CIELOS,Peru
QI,Cimber Air,CIMBER,Denmark
C9,Cirrus Airlines,CIRRUS AIR,Germany
CF,City Airline,SWEDESTAR,Sweden
G3,City Connexion Airlines,CONNEXION,Burundi
WX,CityJet,CITY-IRELAND,Ireland
CT,Civil Air Transport,Mandarin,Taiwan
6P,Club Air,CLUBAIR,Italy
BX,Coast Air,COAST CENTER,Norway
DQ,Coastal Air,U.S. Virgin Islands,United States
9L,Colgan Air,COLGAN,United States
MN,Comair,COMMERCIAL,South Africa
OH,Comair,COMAIR,United States
C5,CommutAir,COMMUTAIR,United States
KR,Comores Airlines,CONTICOM,Comoros
GJ,Compania Mexicargo,MEXICARGO,Mexico
DE,Condor Flugdienst,CONDOR,Germany
6A,Consorcio Aviaxsa,AVIACSA,Mexico
CO,Continental Airlines,CONTINENTAL,United States
CS,Continental Micronesia,AIR MIKE,United States
V0,Conviasa,CONVIASA,Venezuela
CM,Copa Airlines,COPA,Panama
SS,Corsairfly,CORSAIR,France
XK,Corse-Mediterranee,CORSICA,France
F5,Cosmic Air,COSMIC AIR,Nepal
7C,Coyne Aviation,COYNE AIR,United Kingdom
OU,Croatia Airlines,CROATIA,Croatia
QE,Crossair Europe,Cigogne,Switzerland
CU,Cubana de Aviación,CUBANA,Cuba
CY,Cyprus Airways,CYPRUS,Cyprus
YK,Cyprus Turkish Airlines,,Turkey
OK,Czech Airlines,CSA-LINES,Czech Republic
WD,DAS Air Cargo,DAIRAIR,Uganda
DX,DAT Danish Air Transport,DANISH,Denmark
ES,DHL International,DILMUN,Bahrain
L3,DHL de Guatemala,,Guatemala
D3,Daallo Airlines,DALO AIRLINES,Djibouti
N2,Dagestan Airlines,DAGAL,Russia
H8,Dalavia,DALAVIA,Russia
0D,Darwin Airline,DARWIN,Switzerland
D5,Dauair,DAUAIR,Germany
DL,Delta Air Lines,DELTA,United States
2A,Deutsche Bahn,,Germany
1I,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
D7,Dinar,AERO DINAR,Argentina
DH,Discovery Airways,DISCOVERY AIRWAYS,United States
D8,Djibouti Airlines,DJIBOUTI AIR,Djibouti
DO,Dominicana de Aviación,DOMINICANA,Dominican Republic
E3,Domodedovo Airlines,DOMODEDOVO,Russia
KA,Dragonair, Hong Kong Dragon Airlines,DRAGON
KB,Druk Air,ROYAL BHUTAN,Bhutan
BR,EVA Air,EVA,Taiwan
H7,Eagle Air,,Uganda
S9,East African Safari Air,DUMA,Kenya
QU,East African,CRANE,Uganda
T3,Eastern Airways,EASTFLIGHT,United Kingdom
DK,Eastland Air,,Australia
MS,Egyptair,EGYPTAIR,Egypt
LY,El Al Israel Airlines,ELAL,Israel
UZ,El-Buraq Air Transport,BURAQAIR,Libya
1C,Electronic Data Systems,,Switzerland
EK,Emirates Airline,EMIRATES,United Arab Emirates
EU,Empresa Ecuatoriana De Aviacion,ECUATORIANA,Ecuador
E0,Eos Airlines,NEW DAWN,United States
B8,Eritrean Airlines,ERITREAN,Eritrea
E7,Estafeta Carga Aerea,,Mexico
OV,Estonian Air,ESTONIAN,Estonia
ET,Ethiopian Airlines,ETHIOPIAN,Ethiopia
EY,Etihad Airways,ETIHAD,United Arab Emirates
RZ,Euro Exec Express,,Sweden
MM,EuroAtlantic Airways,EUROATLANTIC,Portugal
UI,Eurocypria Airlines,EUROCYPRIA,Cyprus
K2,Eurolot,EUROLOT,Poland
3W,Euromanx Airways,EUROMANX,Austria
EA,European Air Express,STAR WING,Germany
QY,European Air Transport,EUROTRANS,Belgium
EW,Eurowings,EUROWINGS,Germany
EZ,Evergreen International Airlines,EVERGREEN,United States
JN,Excel Airways,EXPO,United Kingdom
MB,Execair Aviation,CANADIAN EXECAIRE,Canada
OW,Executive Airlines,EXECUTIVE EAGLE,United States
EO,Express One International,LONGHORN,United States
XE,ExpressJet,JET LINK,United States
IH,Falcon Aviation,,Sweden
EF,Far Eastern Air Transport,Far Eastern,Taiwan
F6,Faroejet,ROCKROSE,Faroe Islands
F3,Faso Airways,FASO,Burkina Faso
FX,Federal Express,FEDEX,United States
N8,Fika Salaama Airlines,SALAAMA,Uganda
4S,Finalair Congo,FINALAIR CONGO,Republic of the Congo
AY,Finnair,FINNAIR,Finland
FC,Finncomm Airlines,WESTBIRD,Finland
FY,Firefly,FIREFLY,Malaysia
7F,First Air,,Canada
DP,First Choice Airways,JETSET,United Kingdom
8F,Fischer Air,FISCHER,Czech Republic
B5,Flightline,FLIGHTLINE,United Kingdom
PA,Florida Coastal Airlines,FLORIDA COASTAL,United States
RF,Florida West International Airways,FLO WEST,United States
F2,Fly Air,FLY WORLD,Turkey
SH,Fly Me Sweden,FLYBIRD,Sweden
TE,FlyLal,LITHUANIA AIR,Lithuania
LF,FlyNordic,NORDIC,Sweden
F7,Flybaboo,BABOO,Switzerland
BE,Flybe,JERSEY,United Kingdom
W3,Flyhy Cargo Airlines,FLY HIGH,Thailand
VY,Formosa Airlines,,Taiwan
HK,Four Star Aviation / Four Star Cargo,FOUR STAR,United States
FP,Freedom Air,FREEDOM,United States
SJ,Freedom Air,FREE AIR,New Zealand
F9,Frontier Airlines,FRONTIER FLIGHT,United States
2F,Frontier Flying Service,FRONTIER-AIR,United States
FH,Futura International Airways,FUTURA,Spain
GT,GB Airways,GEEBEE AIRWAYS,United Kingdom
7O,Galaxy Air,GALAXY,Kyrgyzstan
1G,Galileo International,,United States
GC,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia
G7,Gandalf Airlines,Gandalf,Italy
GA,Garuda Indonesia,INDONESIA,Indonesia
A9,Georgian Airways,TAMAZI,Georgia
QB,Georgian National Airlines,NATIONAL,Georgia
ST,Germania,GERMANIA,Germany
4U,Germanwings,GERMAN WINGS,Germany
GP,Gestair,GESTAIR,Spain
GH,Ghana Airways,GHANA,Ghana
G0,Ghana International Airlines,GHANA AIRLINES,Ghana
GK,Go One Airways,,United Kingdom
DC,Golden Air,GOLDEN,Sweden
G1,Gorkha Airlines,GORKHA AIRLINES,Nepal
ZK,Great Lakes Airlines,LAKES AIR,United States
IJ,Great Wall Airlines,GREAT WALL,China
TA,Grupo TACA,TACA-COSTARICA,Costa Rica
G6,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau
J9,Guinee Airlines,GUINEE AIRLINES,Guinea
GF,Gulf Air Bahrain,GULF BAHRAIN,Bahrain
GY,Guyana Airways 2000,,\N
H6,Hageland Aviation Services,HAGELAND,United States
HU,Hainan Airlines,HAINAN,China
1R,Hainan Phoenix Information Systems,,China
2T,Haiti Ambassador Airlines,,Haiti
4R,Hamburg International,HAMBURG JET,Germany
X3,Hapag-Lloyd Express (TUIfly),YELLOW CAB,Germany
HF,Hapagfly,HAPAG LLOYD,Germany
HB,Harbor Airlines,HARBOR,United States
HQ,Harmony Airways,HARMONY,Canada
HA,Hawaiian Airlines,HAWAIIAN,United States
BH,Hawkair,,Canada
HN,Heavylift Cargo Airlines,HEAVY CARGO,Australia
8H,Heli France,HELIFRANCE,France
JB,Helijet,HELIJET,Canada
ZU,Helios Airways,HELIOS,Cyprus
T4,Hellas Jet,HELLAS JET,Greece
HW,Hello,FLYHELLO,Switzerland
2L,Helvetic Airways,HELVETIC,Switzerland
DU,Hemus Air,HEMUS AIR,Bulgaria
UD,Hex'Air,HEX AIRLINE,France
5K,Hi Fly,SKY FLYER,Portugal
HD,Hokkaido International Airlines,AIR DO,Japan
H5,Hola Airlines,HOLA,Spain
UO,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong SAR of China
HH,Hope Air,HOPE AIR,Canada
QX,Horizon Air,HORIZON AIR,United States
H4,HĂ©li SĂ©curitĂ© Helicopter Airlines,,France
II,IBC Airways,CHASQUI,United States
C3,ICAR Airlines,,Ukraine
1F,INFINI Travel Information,,Japan
1U,ITA Software,,United States
IB,Iberia Airlines,IBERIA,Spain
FW,Ibex Airlines,IBEX,Japan
FI,Icelandair,ICEAIR,Iceland
IK,Imair Airlines,IMPROTEX,Azerbaijan
6E,IndiGo Airlines,IFLY,India
IC,Indian Airlines,INDAIR,India
QZ,Indonesia AirAsia,WAGON AIR,Indonesia
IO,Indonesian Airlines,INDO LINES,Indonesia
D6,Interair South Africa,INLINE,South Africa
RS,Intercontinental de Aviación,CONTAVIA,Colombia
ID,Interlink Airlines,INTERLINK,South Africa
6I,International Business Air,INTERBIZ,Sweden
3L,Intersky,INTERSKY,Austria
I4,Interstate Airline,FREEWAYAIR,Netherlands
IR,Iran Air,IRANAIR,Iran
EP,Iran Aseman Airlines,,Iran
IA,Iraqi Airways,IRAQI,Iraq
IS,Island Airlines,,United States
2S,Island Express,SANDY ISLE,United States
CN,Islands Nationair,,Papua New Guinea
IF,Islas Airways,PINTADERA,Spain
WC,Islena De Inversiones,,Honduras
6H,Israir,ISRAIR,Israel
9X,Itali Airlines,ITALI,Italy
GI,Itek Air,ITEK-AIR,Kyrgyzstan
XM,J-Air,J AIR,Japan
JC,JAL Express,JANEX,Japan
JO,JALways,JALWAYS,Japan
1M,JSC Transport Automated Information Systems,,Russia
JL,Japan Airlines Domestic,J-BIRD,Japan
EG,Japan Asia Airways,ASIA,Japan
NU,Japan Transocean Air,JAI OCEAN,Japan
JU,Jat Airways,JAT,Serbia
VJ,Jatayu Airlines,JATAYU,Indonesia
9W,Jet Airways,JET AIRWAYS,India
QJ,Jet Airways,,United States
LS,Jet2.com,CHANNEX,United Kingdom
B6,JetBlue Airways,JETBLUE,United States
JF,Jetairfly,BEAUTY,Belgium
0J,Jetclub,,Switzerland
SG,JetsGo,JETSGO,Canada
JQ,Jetstar Airways,JETSTAR,Australia
3K,Jetstar Asia Airways,JETSTAR ASIA,Singapore
JX,Jett8 Airlines Cargo,,Singapore
GX,Jetx Airlines,JETBIRD,Iceland
R5,Jordan Aviation,JORDAN AVIATION,Jordan
KD,KD Avia,KALININGRAD AIR,Russia
WA,KLM Cityhopper,CITY,Netherlands
KL,KLM Royal Dutch Airlines,KLM,Netherlands
K4,Kalitta Air,CONNIE,United States
RQ,Kam Air,KAMGAR,Afghanistan
E2,Kampuchea Airlines,KAMPUCHEA,Cambodia
V2,Karat,AVIAKARAT,Russia
KV,Kavminvodyavia,AIR MINVODY,Russia
M5,Kenmore Air,KENMORE,United States
KQ,Kenya Airways,KENYA,Kenya
IT,Kingfisher Airlines,KINGFISHER,India
Y9,Kish Air,KISHAIR,Iran
KP,Kiwi International Air Lines,KIWI AIR,United States
7K,Kogalymavia Air Company,KOGALYM,Russia
8J,Komiinteravia,KOMIINTER,Russia
KE,Korean Air,KOREANAIR,Republic of Korea
7B,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia
K9,Krylo Airlines,Krylo,Russia
GW,Kuban Airlines,AIR KUBAN,Russia
KU,Kuwait Airways,KUWAITI,Kuwait
GO,Kuzu Airlines Cargo,KUZU CARGO,Turkey
N5,Kyrgyz Airlines,BERMET,Kyrgyzstan
R8,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
LR,LACSA,LACSA,Costa Rica
KG,LAI - Linea Aerea IAACA,AIR BARINAS,Venezuela
LA,LAN Airlines,LAN,Chile
LU,LAN Express,LANEX,Chile
LP,LAN Peru,LANPERU,Peru
LO,LOT Polish Airlines,POLLOT,Poland
LT,LTU International,LTU,Germany
N6,Lagun Air,,Spain
QV,Lao Airlines,LAO,Lao Peoples Democratic Republic
L7,Laoag International Airlines,LAOAG AIR,Philippines
NG,Lauda Air,LAUDA AIR,Austria
LQ,Lebanese Air Transport,LAT,Lebanon
LI,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
LN,Libyan Arab Airlines,LIBAIR,Libya
